"lon","lat","freq"
-69.2474353,-51.6352821,1
174.885971,-40.900557,4
-63.616672,-38.416097,23
144.9937739,-37.8491409,4
144.917975,-37.836578,1
144.963056,-37.813611,16
144.961275,-37.710161,2
144.8410273,-37.6690123,2
174.7633315,-36.8484597,7
-73.0443904,-36.8201352,1
-56.6850587,-36.7376124,1
-71.542969,-35.675147,8
149.1300092,-35.2809368,1
-58.4237574,-35.0241698,1
138.6007456,-34.9284989,1
-56.1645314,-34.9011127,2
-58.3812772,-34.8854021,1
-58.4302476,-34.7611823,1
-58.2546051,-34.7206336,5
-58.5416743,-34.6804829,1
-58.337468,-34.6743938,2
-58.5569098,-34.6679774,1
-58.5577057,-34.6673655,2
-58.5577292,-34.6673475,2
-58.5029706,-34.6572422,1
-58.4326134,-34.6054268,1
-58.3815591,-34.6036844,20
-58.467831,-34.600823,1
-58.4096026,-34.5956295,2
150.830568,-34.0516761,1
-70.7119749,-33.9791656,1
18.42189,-33.91887,1
151.22621,-33.88477,1
151.2092955,-33.8688197,29
151.204868,-33.86799,2
25.5207358,-33.7139247,3
-70.6613511,-33.5264495,1
-71.606887,-33.5181405,1
-70.6437416,-33.4798484,1
-70.6692655,-33.4488897,8
-70.6557164,-33.4443545,1
-70.6504896,-33.4375545,1
-70.6170817,-33.4273924,1
27.3543026,-32.962816,1
-60.6505388,-32.9442426,1
-68.8458386,-32.8894587,1
-70.7010367,-32.8352416,2
-70.7208115,-32.75,1
-55.765835,-32.522779,4
28.1446262,-32.3323496,2
146.921099,-31.2532183,1
22.937506,-30.559482,2
-51.2176584,-30.0346471,4
-51.2176986,-30.0346316,2
31.0218404,-29.8586804,3
-51.1396301,-29.8339626,2
-53.8154499,-29.68725,2
-59.933333,-29.233333,1
-59.2643242,-29.1442242,1
153.1932534,-28.6104322,4
30.8958242,-28.5305539,2
-49.546111,-28.407222,2
153.4,-28.016667,5
152.9532584,-27.7472575,1
153.0251235,-27.4697707,2
-50.2188556,-27.2423392,2
-65.2175903,-26.8082848,2
28.0473051,-26.2041028,3
28.2108827,-26.0063121,2
32.6051351,-25.891968,1
28.2292712,-25.7478676,1
-57.3666027,-25.501405,1
-49.267137,-25.4289541,4
133.775136,-25.274398,18
-65.4231976,-24.7821269,2
-53.5142422,-24.4066881,2
-46.8576421,-23.7166271,2
-70.3975022,-23.6509279,1
-46.6333094,-23.5505199,2
-46.6291845,-23.5431786,6
-46.6784688,-23.5275868,2
-47.4525944,-23.5015338,2
-46.5999229,-23.4644412,3
-58.443832,-23.442503,5
-46.7294577,-23.3233727,1
-46.8927764,-23.1914352,2
-43.18473,-22.9332067,2
-43.2410248,-22.9325728,2
-43.1728965,-22.9068467,40
-43.4302937,-22.8763107,2
-43.3053106,-22.7862985,2
-42.5340796,-22.2887261,1
-48.1786486,-21.7848272,1
142.7027956,-20.9175738,1
-54.6201211,-20.4697105,1
-40.3280037,-20.4269837,1
-43.5124041,-20.3804396,2
-50.9189062,-20.2079067,1
-43.9344931,-19.9166813,4
-41.9559233,-18.8549317,2
-44.5550308,-18.512178,4
145.738391,-16.9007276,2
-41.0394028,-16.4510937,1
-70.0218805,-15.8402218,2
-48.011258,-15.8291861,1
40.333333,-15.433333,1
-51.92528,-14.235004,60
-71.9674626,-13.53195,1
-38.502304,-12.9730401,7
-41.7007272,-12.579738,6
-40.4915817,-12.2837339,1
-76.2710833,-12.2720956,10
-77.0278994,-12.1206383,2
-39.0094642,-11.6577666,1
-37.0730823,-10.9472468,3
-48.2982474,-10.17528,2
-36.6639577,-9.755588,5
-40.4983289,-9.3857327,1
-75.015152,-9.189967,2
-63.9004303,-8.7611605,1
-79.0215336,-8.1090524,1
-34.9296938,-8.0897762,2
-34.8828969,-8.0578381,13
-34.8994482,-8.0432608,1
-36.7819505,-7.2399609,2
-35.8808337,-7.2290752,1
107.6968571,-6.9152841,1
109.1255917,-6.8797041,1
106.8060388,-6.5971469,2
107.7607951,-6.5622888,1
106.9440326,-6.4468869,2
106.7617984,-6.2678825,5
106.9755726,-6.2382699,1
39.3621196,-6.2036563,5
106.6527099,-6.2023936,3
106.822745,-6.1744651,4
106.1471278,-6.1023226,2
-35.200916,-5.7792569,3
119.4131702,-5.1568868,1
-61.3268535,-4.4420385,4
-38.5266704,-3.7318616,9
-60.0217314,-3.1190275,4
115.66283,-2.2179704,1
-79.9223592,-2.1709979,2
-78.183406,-1.831239,6
-48.374721,-1.3642722,1
36.8219462,-1.2920659,4
36.7312217,-1.1997288,1
113.921327,-0.789275,7
-78.5099982,-0.236632,1
-78.4678382,-0.1806532,2
-78.4751945,-0.1464847,1
32.5825197,0.3475964,2
103.819836,1.352083,6
103.8387689,1.3614591,1
124.8420794,1.4748305,1
101.9378239,2.725889,2
101.5025551,2.812098,2
101.686855,3.139003,3
-76.535758,3.45246,4
98.6722227,3.5951956,2
13.914399,3.9505128,2
101.975766,4.210484,9
-74.297333,4.570868,21
-74.107063,4.7086173,2
-74.072092,4.7109886,1
7.0498442,4.815554,1
101.0737181,4.819012,1
100.3327617,5.4163459,1
100.5375031,5.423007,1
-0.1869644,5.6037168,2
-66.58973,6.42375,14
3.3792057,6.5243793,2
12.354722,7.369722,2
3.9069925,7.4464524,1
80.771797,7.873054,5
124.2452422,8.2280209,2
-62.7676633,8.2750921,1
-11.779889,8.460555,1
7.4656896,9.0631792,1
-79.3870749,9.0669877,3
8.675277,9.081999,3
40.489673,9.145,1
-83.753428,9.748917,15
-83.9876532,9.9067787,2
-84.0907246,9.9280694,1
-72.5204827,9.967492,2
-84.4378495,10.060727,1
105.5591218,10.0653203,1
-69.3473509,10.0677719,1
-67.9972104,10.1579312,1
123.8854366,10.3156992,2
-67.0345443,10.349223,2
123.1913722,10.3604776,1
-75.4794257,10.3910485,1
-63.297505,10.4055886,1
-73.2436335,10.4742449,1
-66.9036063,10.4805937,8
-66.7367345,10.5890015,1
-71.7147951,10.6544509,3
106.8286851,10.8428402,1
-63.8108858,11.003381,2
-74.8069813,11.0041072,3
-61.679,12.1165,1
-85.207229,12.865416,3
121.774017,12.879721,21
77.5945627,12.9715987,13
144.6643482,13.3672688,1
144.793731,13.444304,1
-86.4592091,13.4726005,1
100.5017651,13.7563309,12
-88.89653,13.794185,3
121.1312012,13.9450336,1
74.5404694,13.9977623,1
108.277199,14.058324,1
-87.192136,14.0722751,3
120.907304,14.3214094,2
120.9736786,14.4129931,5
121.0365076,14.4845166,2
121.0508645,14.5176184,1
121.0244452,14.554729,2
120.9842195,14.5995124,1
-90.5068824,14.6349149,2
121.0437003,14.6760413,2
-91.5305465,14.8520705,1
-91.5153594,14.8565703,1
-86.241905,15.199999,2
-87.9824758,15.33918,1
-87.9922684,15.5149204,2
103.7724232,15.6576983,1
-96.4648398,15.6838518,1
-86.7919009,15.770288,2
-90.230759,15.783471,10
74.4976741,15.8496953,1
100.992541,15.870032,7
120.5863913,16.4070568,1
-99.8236533,16.8531086,1
-96.7219034,17.0686305,1
-100.6281014,17.2237303,1
120.4242401,17.6446171,1
-77.297508,18.109581,2
-66.590149,18.220833,8
-64.896335,18.335765,1
-66.8766904,18.373375,1
-65.9573872,18.3807819,1
-64.639968,18.420695,3
-66.1057355,18.4655394,2
-69.9312117,18.4860575,1
-67.1505697,18.4930746,2
73.8567437,18.5204303,7
-91.8074586,18.6504879,1
-70.162651,18.735693,4
-99.2215659,18.9242095,1
-72.285215,18.971187,1
-98.2061996,19.0412967,4
72.8776559,19.0759837,8
72.8798441,19.115692,1
-88.4791376,19.1817393,4
-99.1013498,19.2464696,7
-99.1865774,19.3228313,2
-98.9896643,19.3994934,1
-99.1712821,19.4121597,6
-99.133208,19.4326077,19
